feature,ks_statistic,p_value,drifted
ph,0.069697,0.066121,False
Hardness,0.034605,0.683471,False
Solids,0.049035,0.257616,False
Chloramines,0.04129,0.460286,False
Sulfate,0.07247,0.071137,False
Conductivity,0.063481,0.065531,False
Organic_carbon,0.030216,0.826936,False
Trihalomethanes,0.039176,0.555137,False
Turbidity,0.035122,0.665678,False
conductivity_solids_ratio,0.031819,0.777001,False
turbidity_solids_ratio,0.042841,0.413711,False
hardness_conductivity_ratio,0.056525,0.132442,False
hardness_solids_ratio,0.049832,0.241127,False
sulfate_hardness_ratio,0.045446,0.522163,False
tds_conductivity_ratio,0.031819,0.777001,False
chloramines_ph_interaction,0.028646,0.930411,False
ph_hardness_interaction,0.086344,0.010822,True
organic_trihalo_interaction,0.061657,0.090813,False
turbidity_organic_interaction,0.033239,0.730076,False
trihalo_formation_risk,0.039438,0.546573,False
disinfection_stress,0.071233,0.079576,False
dbp_precursor_load,0.049853,0.262561,False
total_oxidant_stress,0.060974,0.187096,False
solids_sulfate_diff,0.080277,0.033541,True
turbidity_trihalo_risk,0.006912,1.0,False
risk_score,0.025187,0.946551,False
expanded_risk_score,0.011161,1.0,False
ph_safe_range,0.008235,1.0,False
high_turbidity,0.021149,0.989928,False
high_sulfate,0.007166,1.0,False
high_chloramines,0.006299,1.0,False
high_hardness,0.027211,0.906603,False
