feature,selected,rank,feature_order
ph,True,1,1
Hardness,True,1,2
Solids,True,1,3
Chloramines,True,1,4
Conductivity,True,1,6
Organic_carbon,True,1,7
Turbidity,True,1,9
conductivity_solids_ratio,True,1,10
hardness_solids_ratio,True,1,13
chloramines_ph_interaction,True,1,16
organic_trihalo_interaction,True,1,18
turbidity_organic_interaction,True,1,19
dbp_precursor_load,True,1,22
solids_sulfate_diff,True,1,24
ph_safe_range,True,1,28
trihalo_formation_risk,False,2,20
total_oxidant_stress,False,3,23
Sulfate,False,4,5
Trihalomethanes,False,5,8
risk_score,False,6,26
ph_hardness_interaction,False,7,17
sulfate_hardness_ratio,False,8,14
expanded_risk_score,False,9,27
tds_conductivity_ratio,False,10,15
turbidity_solids_ratio,False,11,11
disinfection_stress,False,12,21
hardness_conductivity_ratio,False,13,12
high_sulfate,False,14,30
high_hardness,False,15,32
high_chloramines,False,16,31
turbidity_trihalo_risk,False,17,25
high_turbidity,False,18,29
