feature,ks_statistic,p_value,drifted
ph,0.286937,0.0,True
Hardness,0.034605,0.683471,False
Solids,0.049035,0.257616,False
Chloramines,0.683163,0.0,True
Sulfate,0.738658,0.0,True
Conductivity,0.063481,0.065531,False
Organic_carbon,0.030216,0.826936,False
Trihalomethanes,0.826837,0.0,True
Turbidity,0.035122,0.665678,False
conductivity_solids_ratio,0.031819,0.777001,False
turbidity_solids_ratio,0.042841,0.413711,False
hardness_conductivity_ratio,0.056525,0.132442,False
hardness_solids_ratio,0.049832,0.241127,False
sulfate_hardness_ratio,0.448612,0.0,True
tds_conductivity_ratio,0.031819,0.777001,False
chloramines_ph_interaction,0.246458,0.0,True
ph_hardness_interaction,0.216602,0.0,True
organic_trihalo_interaction,0.583002,0.0,True
turbidity_organic_interaction,0.033239,0.730076,False
trihalo_formation_risk,0.584837,0.0,True
disinfection_stress,0.75437,0.0,True
dbp_precursor_load,0.437899,0.0,True
total_oxidant_stress,0.823966,0.0,True
solids_sulfate_diff,0.083777,0.023355,True
turbidity_trihalo_risk,0.088213,0.002777,True
risk_score,0.70433,0.0,True
expanded_risk_score,0.531522,0.0,True
ph_safe_range,0.138317,0.0,True
high_turbidity,0.021149,0.989928,False
high_sulfate,0.001069,1.0,False
high_chloramines,0.026221,0.927674,False
high_hardness,0.027211,0.906603,False
