trial_number,objective_value,is_best,param_colsample_bytree,param_eval_metric,param_gamma,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,param_n_jobs,param_objective,param_random_state,param_reg_alpha,param_reg_lambda,param_subsample,param_tree_method,param_verbosity,cv_mean_accuracy,cv_std_accuracy,cv_mean_precision,cv_std_precision,cv_mean_recall,cv_std_recall,cv_mean_f1,cv_std_f1,cv_mean_f1_weighted,cv_std_f1_weighted,cv_mean_roc_auc,cv_std_roc_auc
0,0.3728992131904392,False,0.7971955934444767,logloss,1.219900096437906,0.0570342047169544,5,3,400,-1,binary:logistic,73,0.0003773602994151,3.509597624572087,0.8441028908451985,hist,0,0.5966140552548984,0.0385200438304684,0.4701074021438308,0.070967870363881,0.3111064135627616,0.0763373356626853,0.3728992131904392,0.0758967755616352,0.5737460019483183,0.043596755782668,0.5725781794619337,0.0573587130305776
1,0.3402319739697151,False,0.9622879365735616,logloss,2.943318378397697,0.0761282831175293,4,2,200,-1,binary:logistic,73,1.2467303481508757e-06,5.658214935507401,0.6965739067514468,hist,0,0.6174431370522971,0.030802562800567,0.5203368185808923,0.085782255071182,0.259523104891557,0.0853332086927548,0.3402319739697151,0.0819651624336923,0.5777002501775877,0.0390704929369321,0.583567572828145,0.0522618817892495
2,0.4052451866317438,False,0.6136175405321111,logloss,0.1372727267344514,0.271527423263149,2,6,600,-1,binary:logistic,73,5.011596140896913e-06,0.2435969883794701,0.6173709429837138,hist,0,0.5800957079937487,0.0341320170733881,0.450386098716133,0.0547750284524059,0.3691328795501628,0.066802300808068,0.4052451866317438,0.0615843409782989,0.569944273853087,0.0372633874212652,0.5534277973014587,0.0441968343590699
3,0.3331765886118752,False,0.86209001442807,logloss,3.44580427018248,0.2506561592048676,8,1,200,-1,binary:logistic,73,0.0012424627660752,1.605283540642144,0.9279542010007942,hist,0,0.6156497423246322,0.0323783956359163,0.516889823683958,0.0829157342649397,0.2512619963640976,0.0750937256494466,0.3331765886118752,0.0786848457071217,0.574685741472133,0.0391806433085562,0.5858802362200214,0.0391892561978913
4,0.2531659135365831,False,0.6325648711189599,logloss,3.66598040069765,0.0561755793396314,3,4,100,-1,binary:logistic,73,0.007065509963103,0.172219252069822,0.7906392891802798,hist,0,0.6267872595998605,0.0251528520746941,0.5766844269622743,0.1049718581187227,0.1683887878915993,0.0753378099402097,0.2531659135365831,0.093568203709651,0.5565009450790432,0.0413192679073476,0.5813323256688638,0.0443614979852943
5,0.3122298195120872,False,0.6308633956640812,logloss,2.9320580472813984,0.1733623847228064,4,3,100,-1,binary:logistic,73,2.4630874136322493e-05,1.858990580726907,0.8431516394729066,hist,0,0.6131375689394625,0.0246234051915679,0.5188327962764053,0.0780605211171495,0.23467636240646,0.08832532904201,0.3122298195120872,0.0903513486184434,0.5665162110484443,0.0358496120142253,0.5717186917456473,0.0412356375858505
6,0.3769120845514,False,0.875394498667847,logloss,3.9650350078750742,0.2654099557555474,6,9,100,-1,binary:logistic,73,0.0020735497997211,4.153281029591246,0.6022222985971283,hist,0,0.6113415910000903,0.032241972873908,0.5003924983643776,0.0580299167665308,0.3064896630448569,0.0793570902168803,0.3769120845514,0.0722789626737446,0.58417974095303,0.0376196934449273,0.5842504635992369,0.0484981037726947
7,0.212389303931966,False,0.8011540601618066,logloss,3.3678250358467423,0.0549393717223349,3,2,100,-1,binary:logistic,73,3.4697700669368306e-06,3.801560527618384,0.97115614980142,hist,0,0.6228407579143148,0.0214657858079247,0.5706071882194174,0.1086266393915279,0.1343423667188094,0.0597292074220039,0.212389303931966,0.0798145188060918,0.5412298023674823,0.0349426698571521,0.5834984050845208,0.0397591316034875
8,0.3178526826916205,False,0.9524749187597724,logloss,4.948073707755076,0.1472806139687378,3,6,500,-1,binary:logistic,73,2.2181717360182337e-05,0.5133064898511264,0.7734278923554754,hist,0,0.6156465133099983,0.0320437405159497,0.520501514554687,0.0847169085106479,0.2346805901999746,0.0742441041159084,0.3178526826916205,0.0780275618971678,0.5701579052365545,0.0383443940497436,0.5753038479912284,0.0451614393473113
9,0.2563287536341089,False,0.7104637317944678,logloss,4.5647801168354265,0.0397654956478607,3,6,400,-1,binary:logistic,73,1.231138578118363e-05,0.1133155270476007,0.845564285010995,hist,0,0.6275047466515119,0.0251729194780336,0.5738324420677362,0.0966627626374361,0.171141081469581,0.0785214284647129,0.2563287536341089,0.0947288442106334,0.557907895057053,0.0418899080200108,0.5873116611341114,0.0412867786129267
