trial_number,objective_value,is_best,param_class_weight,param_early_stopping,param_l2_regularization,param_learning_rate,param_max_bins,param_max_depth,param_max_iter,param_max_leaf_nodes,param_min_samples_leaf,param_random_state,cv_mean_accuracy,cv_std_accuracy,cv_mean_precision,cv_std_precision,cv_mean_recall,cv_std_recall,cv_mean_f1,cv_std_f1,cv_mean_f1_weighted,cv_std_f1_weighted,cv_mean_roc_auc,cv_std_roc_auc
0,0.3968676907807661,False,,False,0.4040831743925639,0.0624609269919239,127,10.0,400,31,22,73,0.5779367888095269,0.0434734128135403,0.4475619887251014,0.0692992880962566,0.3571639961104299,0.0650469630212685,0.3968676907807661,0.0667294933192998,0.5666111510492423,0.0451408416311644,0.5595333211788854,0.0564299382767818
1,0.3754429692769208,False,,False,0.3374970082679478,0.024376074518934,255,,300,31,11,73,0.586203712075223,0.0392782517286829,0.4576654716815961,0.0716947762569312,0.3185219633873082,0.0462555467221529,0.3754429692769208,0.0559338501653515,0.5676314348002458,0.0399141854273981,0.5672712052290477,0.0476292877576407
2,0.4018119956886735,False,,False,0.0814121777973998,0.0928638804668077,255,,500,31,29,73,0.571835888560247,0.0339253522715643,0.442166475907233,0.0536682721194377,0.3691962964528812,0.0482874922403784,0.4018119956886735,0.0483130235553463,0.5630937168920638,0.0340358977485388,0.5525815815775721,0.0472142720705409
3,0.4824388336506746,False,balanced,False,0.5859235662343548,0.0295792708930745,127,10.0,100,15,12,73,0.5650091058212676,0.0392679494576308,0.4519300212999325,0.0389149133634251,0.519270282839386,0.0424317449055733,0.4824388336506746,0.0362986167632408,0.5686337126445962,0.0383709408885883,0.584511141805836,0.044434379938495
4,0.4502602091841631,False,balanced,False,0.3175375870156762,0.0958691757860558,127,3.0,400,15,37,73,0.5459663149193392,0.0432869641910876,0.4260034628322177,0.05083236957499,0.4778209952225933,0.0661218423004558,0.4502602091841631,0.0574102554570557,0.5495779816959098,0.0432673520974032,0.5606243758126517,0.0553488224270057
5,0.3897666516947032,False,,False,0.2761593294861695,0.2002721156324146,255,3.0,300,31,35,73,0.5790165713031012,0.0292785588579754,0.4466254052216042,0.050348767476329,0.3461379106244451,0.0543948997969466,0.3897666516947032,0.0533937116816358,0.5659096782310976,0.0323159031486205,0.5591057137209814,0.0439924491528114
6,0.3896644881236167,False,,False,0.4288409367681667,0.1236320540084339,255,3.0,300,31,49,73,0.5998488821151338,0.0293949006323902,0.4783418193038627,0.0524831974163678,0.330461252272439,0.0651517636414629,0.3896644881236167,0.0611902769679012,0.5801314606656505,0.0337988462542649,0.570588289067719,0.0486167172577565
7,0.3777893330315139,False,,False,0.0798093723131386,0.0294185669199184,127,10.0,200,31,11,73,0.6002202187980317,0.0344726391190332,0.4807442268686646,0.0652486954995852,0.3120618948970532,0.0526478718584084,0.3777893330315139,0.0568189978168247,0.5775555462009418,0.0364230228086891,0.5832103803239561,0.0465698162934185
8,0.4575610554830537,False,balanced,False,0.3900035588231815,0.0324147188006886,127,10.0,200,63,11,73,0.57615178951991,0.0354622514715376,0.4586844682236014,0.0434631839218702,0.4594216378472075,0.0543304458859752,0.4575610554830537,0.0423274011413578,0.5755020731905685,0.0339007084428246,0.5765796800535277,0.0480646235938144
9,0.3169860041038559,False,,False,0.9134135706356248,0.0247116201270494,127,3.0,400,63,37,73,0.6131414437570231,0.0299710264146461,0.508049728049728,0.081002628758916,0.2319494355895658,0.0547652346888404,0.3169860041038559,0.0637514407914882,0.5688358007764093,0.0352928789913376,0.5841948735432334,0.0515199187777743
10,0.4747273280632623,False,balanced,False,0.769804441292135,0.0110483643917498,127,5.0,100,15,21,73,0.5765043979179313,0.04262429054617,0.4637336938194972,0.0494783756778213,0.4898363843909862,0.0436378633550313,0.4747273280632623,0.0377335682745993,0.5778192503885166,0.0399480178406679,0.5818957839141649,0.0381095498174337
11,0.4680624942376633,False,balanced,False,0.7544915358279544,0.0101339430648566,127,5.0,100,15,20,73,0.5675186959947303,0.0387306591942838,0.4530126175901586,0.0444746679220927,0.4870840908130047,0.0390287768497952,0.4680624942376633,0.0333172743410187,0.5695078652350047,0.0362315047662403,0.582526891697524,0.0375273332126858
12,0.4724000438501539,False,balanced,False,0.6636263539464494,0.0108630821485601,127,5.0,100,15,21,73,0.5725475633855572,0.0427561785934551,0.4599351052318045,0.0493120693696081,0.4898448399780154,0.0436487394402305,0.4724000438501539,0.0353460703743818,0.5739549335054187,0.0398058010061682,0.583292109412127,0.0381161361430276
13,0.4627856594854757,False,balanced,False,0.6224143035159295,0.0166857917059634,127,5.0,100,15,18,73,0.5628527698487529,0.0331442074578893,0.4472839425559933,0.0321405039827583,0.484302202680421,0.0537230324970637,0.4627856594854757,0.0314261503690925,0.5642931072609515,0.0306764903778395,0.5834060938577936,0.0387118636124301
14,0.4631211604194524,False,balanced,False,0.9863558105948484,0.0450351826771088,127,10.0,200,15,27,73,0.5588959353163788,0.0463658470934067,0.4418535728826868,0.0532318636285222,0.4870206739102862,0.0515787655249145,0.4631211604194524,0.0519088526217246,0.5621090518629126,0.0455255531712907,0.567422694707553,0.055985804767106
15,0.4711757314403805,False,balanced,False,0.8066365075250923,0.0162905621396464,127,5.0,100,15,16,73,0.5686017075029384,0.0359156147608828,0.4546177076406626,0.0380187664733992,0.4916966135373948,0.0281619492131015,0.4711757314403805,0.0244430927999817,0.5707524556236162,0.0335047505489919,0.5821082919047349,0.0342635967148029
16,0.4784448291826593,False,balanced,False,0.5743878778798681,0.0158258025315038,127,5.0,200,15,24,73,0.5671699624142696,0.0392458599052844,0.4533752683796689,0.0394578472625718,0.509140489578489,0.0490459100676482,0.4784448291826593,0.038142126607893,0.5700235173392721,0.0382932508731933,0.5829285210405795,0.045550314932247
17,0.4673549256367596,False,balanced,False,0.5669989877700812,0.0503549681278506,127,10.0,200,63,45,73,0.5671622127791484,0.038001168672691,0.450575269358498,0.0461247565545047,0.4861328372722276,0.0401111784364463,0.4673549256367596,0.0416926057046589,0.569722947635219,0.0369676608816215,0.5732391607550369,0.0536767224690903
18,0.4829220094886332,False,balanced,False,0.4842257629328351,0.0183142448678372,255,,200,15,26,73,0.5693250067809308,0.0442996889634385,0.4554360637642372,0.0471094803764091,0.5146493045279669,0.0458348586138395,0.4829220094886332,0.0456344642100289,0.5729783074473125,0.0433729263423076,0.5786902860571456,0.0548325813407661
19,0.4166399854725011,False,balanced,False,0.2012560132022507,0.2762212830402276,255,,200,15,32,73,0.5488478875786265,0.0480965015259534,0.4211407281635931,0.0636711778193843,0.4142814864921997,0.0706143634811133,0.4166399854725011,0.0634116148644282,0.5475298870878309,0.0475240434569957,0.5519474921837355,0.0491879775545519
20,0.4780501949533658,False,balanced,False,0.4908937353311087,0.0364161654443056,255,,100,15,15,73,0.5610709995737702,0.0437633417516168,0.4485078202381853,0.0446759995419531,0.5137656956834228,0.0350103333328429,0.4780501949533658,0.0363912869802717,0.5646783922336079,0.0426870618263427,0.577874867531154,0.0465920833371923
21,0.4788417240517886,False,balanced,False,0.542018378267407,0.0175394114971691,255,,200,15,25,73,0.5660914715265489,0.0497906149376548,0.452041064254592,0.0517451329069468,0.5100325540100622,0.0530487074307215,0.4788417240517886,0.05097576238463,0.569646766836882,0.048752761870858,0.5805655381392423,0.0572049328777461
22,0.4884852560674566,True,balanced,False,0.490543257165778,0.0207323896173135,255,,200,15,26,73,0.5711190473115224,0.0438359487147115,0.4584215686637581,0.0457104590421667,0.523865894389718,0.0422886301104973,0.4884852560674566,0.0425642283743238,0.5748718991479176,0.0429224786259355,0.5764124951391929,0.0557515454886279
23,0.47607888359298,False,balanced,False,0.6990815505927134,0.0241207523692418,255,,300,15,41,73,0.5610619583327952,0.0337863423977501,0.4455360069485112,0.0376209720779058,0.5118927831564706,0.0501717185271684,0.47607888359298,0.0417626104418835,0.5650411015781488,0.0333900832218026,0.5752166120241043,0.0515783363028299
24,0.4763849875711178,False,balanced,False,0.4812300865095408,0.0205235133689076,255,,200,15,31,73,0.5646513309998321,0.0378841018372074,0.4493539403757344,0.0415139693499458,0.5072887160191096,0.0430736608187322,0.4763849875711178,0.0415660436957649,0.5683860886547585,0.0371830957547826,0.5770999732093023,0.0519954517221147
25,0.4487467444679544,False,balanced,False,0.1712841597689189,0.0660051061826213,255,,100,63,28,73,0.5650136264417551,0.0464686069774147,0.4457631749626911,0.0563915063198535,0.4538790005496132,0.056456129084173,0.4487467444679544,0.0528020353676904,0.5652846183366044,0.044998974008092,0.5673391367300482,0.0536313812029589
26,0.4728632228678643,False,balanced,False,0.4675363561604091,0.0134530962813993,255,10.0,300,15,15,73,0.5574725856657582,0.0425402621575336,0.444201754313402,0.0434989394411665,0.5073140827801971,0.0324948935613391,0.4728632228678643,0.0350903903778288,0.5611559521154504,0.0412084326707834,0.5755609907852808,0.0474580018896566
