trial_number,fold,train_row_count,filtered_train_row_count,validation_row_count,selected_feature_count,accuracy,precision,recall,f1,f1_weighted,roc_auc,param_bootstrap,param_class_weight,param_criterion,param_max_depth,param_max_features,param_max_samples,param_min_samples_leaf,param_min_samples_split,param_n_estimators,param_n_jobs,param_random_state
0,1,2227,1826,557,24,0.6714542190305206,0.5853658536585366,0.5504587155963303,0.5673758865248227,0.6694961606765785,0.6828231982896268,True,balanced_subsample,entropy,15.0,0.5,0.6136175405321111,16,14,800,-1,73
0,2,2227,1826,557,3,0.59245960502693,0.4768518518518518,0.4746543778801843,0.4757505773672055,0.5922882261316881,0.5938940092165899,True,balanced_subsample,entropy,15.0,0.5,0.6136175405321111,16,14,800,-1,73
0,3,2227,1802,557,15,0.5727109515260324,0.452914798206278,0.4654377880184331,0.4590909090909091,0.5737224059097278,0.5898617511520738,True,balanced_subsample,entropy,15.0,0.5,0.6136175405321111,16,14,800,-1,73
0,4,2227,1828,557,8,0.5493716337522442,0.4314516129032258,0.4930875576036866,0.4602150537634408,0.553630268543697,0.5430740037950664,True,balanced_subsample,entropy,15.0,0.5,0.6136175405321111,16,14,800,-1,73
0,5,2228,1818,556,17,0.5683453237410072,0.441025641025641,0.3963133640552995,0.4174757281553398,0.5636037078797433,0.5674999660155242,True,balanced_subsample,entropy,15.0,0.5,0.6136175405321111,16,14,800,-1,73
1,1,2227,1826,557,24,0.6642728904847397,0.6962025316455697,0.2522935779816513,0.3703703703703703,0.6142698913465545,0.6950691456252875,True,,gini,30.0,sqrt,0.6168435848660428,14,4,700,-1,73
1,2,2227,1826,557,3,0.6229802513464991,0.5376344086021505,0.2304147465437788,0.3225806451612903,0.5766499638253972,0.5909257251287612,True,,gini,30.0,sqrt,0.6168435848660428,14,4,700,-1,73
1,3,2227,1802,557,15,0.6086175942549371,0.4938271604938271,0.184331797235023,0.2684563758389262,0.5519240578522686,0.5858904852263487,True,,gini,30.0,sqrt,0.6168435848660428,14,4,700,-1,73
1,4,2227,1828,557,8,0.6086175942549371,0.4923076923076923,0.1474654377880184,0.226950354609929,0.5388899254736376,0.5347790729194903,True,,gini,30.0,sqrt,0.6168435848660428,14,4,700,-1,73
1,5,2228,1818,556,17,0.6079136690647482,0.4878048780487805,0.0921658986175115,0.1550387596899224,0.5145811350483908,0.5671465274662534,True,,gini,30.0,sqrt,0.6168435848660428,14,4,700,-1,73
2,1,2227,1826,557,24,0.6552962298025135,0.7708333333333334,0.1697247706422018,0.2781954887218045,0.5796982038783147,0.66128115612568,True,,entropy,5.0,sqrt,0.6782317558490116,2,24,500,-1,73
2,2,2227,1826,557,3,0.6319569120287253,0.6764705882352942,0.1059907834101382,0.1832669322709163,0.5368117598900474,0.5855651938194633,True,,entropy,5.0,sqrt,0.6782317558490116,2,24,500,-1,73
2,3,2227,1802,557,15,0.6247755834829444,0.5869565217391305,0.1244239631336405,0.2053231939163498,0.5404907907498213,0.5873407427487124,True,,entropy,5.0,sqrt,0.6782317558490116,2,24,500,-1,73
2,4,2227,1828,557,8,0.6068222621184919,0.4791666666666667,0.1059907834101382,0.1735849056603773,0.5205830239071594,0.5304689617782596,True,,entropy,5.0,sqrt,0.6782317558490116,2,24,500,-1,73
2,5,2228,1818,556,17,0.6079136690647482,0.4838709677419355,0.0691244239631336,0.1209677419354838,0.5030850319744206,0.5860554898522355,True,,entropy,5.0,sqrt,0.6782317558490116,2,24,500,-1,73
3,1,2227,1826,557,24,0.6588868940754039,0.5636363636363636,0.5688073394495413,0.5662100456621004,0.6591610859346149,0.6817542150415417,True,balanced_subsample,log_loss,,,0.89574581805852,12,40,800,-1,73
3,2,2227,1826,557,3,0.5834829443447038,0.4657534246575342,0.4700460829493088,0.4678899082568807,0.5838239267520425,0.5767281105990782,True,balanced_subsample,log_loss,,,0.89574581805852,12,40,800,-1,73
3,3,2227,1802,557,15,0.5798922800718133,0.4597156398104265,0.4470046082949309,0.4532710280373832,0.5787848055642236,0.5891298454865816,True,balanced_subsample,log_loss,,,0.89574581805852,12,40,800,-1,73
3,4,2227,1828,557,8,0.5385996409335727,0.4173553719008264,0.4654377880184331,0.4400871459694989,0.5423596598253312,0.537679587964218,True,balanced_subsample,log_loss,,,0.89574581805852,12,40,800,-1,73
3,5,2228,1818,556,17,0.5683453237410072,0.4397905759162304,0.3870967741935484,0.4117647058823529,0.5625625168314545,0.5666843385941303,True,balanced_subsample,log_loss,,,0.89574581805852,12,40,800,-1,73
4,1,2227,1826,557,24,0.6642728904847397,0.6867469879518072,0.2614678899082568,0.3787375415282392,0.6168592716543244,0.6881951773970935,True,,log_loss,20.0,sqrt,0.6155780694441629,9,2,600,-1,73
4,2,2227,1826,557,3,0.6032315978456014,0.4830508474576271,0.2626728110599078,0.3402985074626866,0.5698164810960398,0.5794592030360531,True,,log_loss,20.0,sqrt,0.6155780694441629,9,2,600,-1,73
4,3,2227,1802,557,15,0.6157989228007181,0.5168539325842697,0.2119815668202765,0.3006535947712418,0.565874910439613,0.5829357549471401,True,,log_loss,20.0,sqrt,0.6155780694441629,9,2,600,-1,73
4,4,2227,1828,557,8,0.5942549371633752,0.4457831325301205,0.1705069124423963,0.2466666666666666,0.5370352464427868,0.5355651938194632,True,,log_loss,20.0,sqrt,0.6155780694441629,9,2,600,-1,73
4,5,2228,1818,556,17,0.6025179856115108,0.4629629629629629,0.1152073732718894,0.1845018450184501,0.5214993995037001,0.5658958987534495,True,,log_loss,20.0,sqrt,0.6155780694441629,9,2,600,-1,73
5,1,2227,1826,557,24,0.6750448833034112,0.5911330049261084,0.5504587155963303,0.5700712589073634,0.6727727269312023,0.69555627723201,True,balanced_subsample,gini,15.0,0.5,0.64406446413237,13,29,300,-1,73
5,2,2227,1826,557,3,0.585278276481149,0.4675925925925926,0.4654377880184331,0.4665127020785219,0.5851038776934799,0.5867918134995934,True,balanced_subsample,gini,15.0,0.5,0.64406446413237,13,29,300,-1,73
5,3,2227,1802,557,15,0.578096947935368,0.4590909090909091,0.4654377880184331,0.4622425629290618,0.5786103351658244,0.5970181621035511,True,balanced_subsample,gini,15.0,0.5,0.64406446413237,13,29,300,-1,73
5,4,2227,1828,557,8,0.5511669658886894,0.4291845493562232,0.4608294930875576,0.4444444444444444,0.5537385929114423,0.5436432637571158,True,balanced_subsample,gini,15.0,0.5,0.64406446413237,13,29,300,-1,73
5,5,2228,1818,556,17,0.5665467625899281,0.4347826086956521,0.3686635944700461,0.399002493765586,0.5587704463153804,0.5714557590092846,True,balanced_subsample,gini,15.0,0.5,0.64406446413237,13,29,300,-1,73
