trial_number,objective_value,is_best,param_bootstrap,param_class_weight,param_criterion,param_max_depth,param_max_features,param_max_samples,param_min_samples_leaf,param_min_samples_split,param_n_estimators,param_n_jobs,param_random_state,cv_mean_accuracy,cv_std_accuracy,cv_mean_precision,cv_std_precision,cv_mean_recall,cv_std_recall,cv_mean_f1,cv_std_f1,cv_mean_f1_weighted,cv_std_f1_weighted,cv_mean_roc_auc,cv_std_roc_auc
0,0.4759816309803436,False,True,balanced_subsample,entropy,15.0,0.5,0.6136175405321111,16,14,800,-1,73,0.5908683466153468,0.0425571842830734,0.4775219515291066,0.0560191485765383,0.4759903606307868,0.049597208505204,0.4759816309803436,0.0496181125008867,0.590548153828287,0.0414918181122928,0.5954305856937763,0.0473120976188521
1,0.2686793011340876,False,True,,gini,30.0,sqrt,0.6168435848660428,14,4,700,-1,73,0.6224803998811723,0.0216490486103956,0.541555334219604,0.0794022035828435,0.1813342916331966,0.0575346816918811,0.2686793011340876,0.0747020157476137,0.5592629947092498,0.0340395531690282,0.5947621912732283,0.0538804419190941
2,0.1922676525009863,False,True,,entropy,5.0,sqrt,0.6782317558490116,2,24,500,-1,73,0.6253529312994847,0.0178216754812909,0.599459615543272,0.1125051976299807,0.1150509449118505,0.0327123801332339,0.1922676525009863,0.0511229409170852,0.5361337620799527,0.0255003842652243,0.5901423088648702,0.0416344683804177
3,0.4678445667616432,False,True,balanced_subsample,log_loss,,,0.89574581805852,12,40,800,-1,73,0.5858414166333002,0.0397856633220241,0.4692502751842762,0.0501454400646084,0.4676785185811525,0.058580701156259,0.4678445667616432,0.0525425213163352,0.5853383989815333,0.0396508389544461,0.5903952195371099,0.0487360252482936
4,0.2901716310894568,False,True,,log_loss,20.0,sqrt,0.6155780694441629,9,2,600,-1,73,0.616015266781189,0.0250916551296854,0.5190795726973574,0.08710548396478,0.2043673107005454,0.0562387863075847,0.2901716310894568,0.0685934128136722,0.5622170618272928,0.0327076565214681,0.5904102455906399,0.0516654993906804
5,0.4684546924249956,False,True,balanced_subsample,gini,15.0,0.5,0.64406446413237,13,29,300,-1,73,0.5912267672397091,0.0434675593783086,0.4763567329322971,0.059164405094604,0.46216547583816,0.0575525827574937,0.4684546924249956,0.0561576145678556,0.5897991958034658,0.0431161080295022,0.598893055120311,0.05157340098377
6,0.4756850834249936,False,True,balanced,log_loss,15.0,sqrt,0.983309789719579,19,7,300,-1,73,0.5844077341358511,0.0439416419353989,0.4701559454716911,0.053814472151969,0.4824292901534689,0.0460145603532537,0.4756850834249936,0.0481350218037866,0.5852446683547332,0.0427044594488639,0.594700777638903,0.050798988098707
7,0.2332435841862287,False,True,,gini,5.0,0.5,0.6690941637543012,17,6,300,-1,73,0.6289403665577413,0.0191770398248209,0.5905700846318696,0.1004345810883444,0.1472498203187756,0.0511148565540403,0.2332435841862287,0.0695412115430095,0.5514820893811443,0.0320524032691924,0.5942764760103456,0.0418340406679545
8,0.2016185972429457,False,True,,log_loss,5.0,0.3,0.9716890405053964,4,34,600,-1,73,0.6231985327357503,0.0171330230705922,0.5757484880744751,0.0957276172843005,0.1233247368198537,0.0388286964304467,0.2016185972429457,0.056374941777859,0.5380937035386373,0.0265899528186708,0.5930783389523813,0.0419423538837439
9,0.4431352066230294,False,True,balanced_subsample,gini,30.0,0.7,0.6382754661846893,2,24,700,-1,73,0.5905060511734239,0.0429466364722906,0.4708211672234528,0.0640140697312034,0.4197903014416775,0.070370113143762,0.4431352066230294,0.0666848563411076,0.5850031156250401,0.0445480134363341,0.5886243324416378,0.0542852363320353
10,0.4382968268647064,False,True,balanced,entropy,50.0,log2,0.7872160047852397,7,15,1000,-1,73,0.5908728672358343,0.0377899185101452,0.4742711432014837,0.0573069241831186,0.4106244451021013,0.0571108212818545,0.4382968268647064,0.051531111505121,0.5839805577265877,0.03669603007987,0.5908561447296012,0.0525990201924871
11,0.4831365327633781,False,True,balanced,entropy,15.0,0.5,0.7716692229819576,20,12,1000,-1,73,0.5851226379757953,0.0465044351358276,0.471804310192449,0.055474992378466,0.4962330359785228,0.0501163335127569,0.4831365327633781,0.0509113327805972,0.586693894020181,0.0453736874488677,0.5957240049809467,0.0471593993355162
12,0.4771378581406849,False,True,balanced,entropy,10.0,0.5,0.7600576773182118,20,14,1000,-1,73,0.5829656562003539,0.0421978366149386,0.4681855513519867,0.0511450315077251,0.4879507884834904,0.0537602206959707,0.4771378581406849,0.0496386383127718,0.5840613135128091,0.0414458732315949,0.5956154216276941,0.0471761704483324
13,0.4783860685577538,False,True,balanced,entropy,10.0,0.5,0.7598738422557224,20,14,1000,-1,73,0.5826046523642845,0.0427520999032985,0.4679485052723433,0.0519264538594998,0.4907157654420158,0.0535975450959243,0.4783860685577538,0.0501522197320528,0.5839339532830972,0.0420104653202988,0.595416648427292,0.0473537972238276
14,0.4795459839459416,False,True,balanced,entropy,10.0,0.5,0.8476016151973713,20,18,900,-1,73,0.5829675936091342,0.0469504754749766,0.4691195327834843,0.0557367818638388,0.4916289688411617,0.0500391967373158,0.4795459839459416,0.0511202797036105,0.5844432673339542,0.0457785102997768,0.5958922493746142,0.046375974237971
15,0.4783451609428352,False,True,balanced,entropy,10.0,,0.8572327643435134,17,10,900,-1,73,0.58979308474226,0.0396819335306078,0.4764594551318447,0.0480801036777513,0.4815118589608083,0.0422344798445863,0.4783451609428352,0.0423771551425825,0.5900065212514705,0.0383811056255801,0.5935785534635668,0.0468094169264041
16,0.4690137251191772,False,True,balanced,entropy,,0.3,0.8421173454507659,15,20,900,-1,73,0.5851207005670149,0.0464957343535521,0.4696083742003604,0.0599459674791408,0.4695260643470172,0.0563101746562985,0.4690137251191772,0.0564083523988627,0.5849464224596007,0.0457905610446241,0.5935135988779408,0.051735672872496
17,0.4809651952908888,False,True,balanced,entropy,50.0,log2,0.8958236809592321,18,20,900,-1,73,0.5883574648360306,0.0426421943169908,0.475051048581081,0.0536742510952231,0.487955016277005,0.0434150187170785,0.4809651952908888,0.0469100911673708,0.58927856220152,0.0414497086782266,0.5961490313059856,0.0515858475956209
18,0.4651595934290031,False,True,balanced,entropy,50.0,log2,0.9277007025674306,11,27,800,-1,73,0.5879971068028881,0.0443756510140852,0.4723572712150488,0.0591398519989981,0.4594004988796347,0.0561684375736435,0.4651595934290031,0.055646812225547,0.5867302409000127,0.0437900839239715,0.5939563432378219,0.0511801553353307
19,0.4774329641692039,False,True,balanced,entropy,50.0,log2,0.719190058533296,18,10,900,-1,73,0.5879958151970345,0.046391188835634,0.4748346364714152,0.0599040311164818,0.4815118589608083,0.0487685348201164,0.4774329641692039,0.0517776031214975,0.5884028257731478,0.0450548184606988,0.5938462229719519,0.0496289688498877
20,0.4514194124870658,False,True,balanced,entropy,20.0,0.7,0.9147876046954936,9,18,500,-1,73,0.5912254756338555,0.041228691108486,0.4737998220754417,0.0605019886268326,0.4326977550416437,0.0642952551686898,0.4514194124870658,0.0602319865849866,0.5869559121500396,0.041852665019373,0.592131307042796,0.0518871715244574
21,0.4794429446220764,False,True,balanced,entropy,10.0,log2,0.8412253318522684,20,17,900,-1,73,0.5829688852149877,0.0453596473292173,0.4698943323159095,0.0536839454475409,0.4907284488225595,0.039114291678535,0.4794429446220764,0.0445647263951613,0.584392074879451,0.0437153701996957,0.5965233533065215,0.0492635205824935
22,0.4737168818705197,False,True,balanced,entropy,15.0,0.5,0.8061498092295896,18,21,1000,-1,73,0.5836870180695659,0.044573640551017,0.4689434587764317,0.0563597971315319,0.479660085401429,0.0494843362921614,0.4737168818705197,0.051003454980352,0.5844052575413642,0.0435182670326944,0.5972926576314251,0.0494768786222524
23,0.4704463072481663,False,True,balanced,entropy,50.0,0.5,0.8616789713539237,15,11,800,-1,73,0.5858414166333002,0.0431736443938058,0.4709525820593345,0.0552823288207874,0.4713778379063966,0.0513488453564878,0.4704463072481663,0.0505889009934351,0.5856490368062447,0.0421829218817906,0.5952221724198955,0.0484147206151281
24,0.4732173461068092,False,True,balanced,entropy,50.0,log2,0.8084241739403809,18,24,900,-1,73,0.5844057967270707,0.0398537986938537,0.4700339651532156,0.0502286506104481,0.4778421341901661,0.0416107298696197,0.4732173461068092,0.0429376929948703,0.5848578721552735,0.0384581272644408,0.5950213484131824,0.049073283432343
25,0.4720839505271956,False,True,balanced,entropy,15.0,0.5,0.8842997575883296,16,18,1000,-1,73,0.5872738075248957,0.0472502758881034,0.472079278371138,0.0604323676879621,0.4732000169111741,0.0603052715890161,0.4720839505271956,0.0586120835427662,0.5871286003726375,0.0467498541129293,0.5942418426198691,0.0502926276589173
26,0.4797504034608382,False,True,balanced,entropy,10.0,0.7,0.9436062784560328,20,27,900,-1,73,0.5844032135153636,0.0431738550026398,0.4707450322403597,0.0516352820566643,0.4907157654420158,0.0484358809406341,0.4797504034608382,0.0468414636693666,0.5855757905543973,0.0419405876449064,0.595475451107512,0.0466458659384001
27,0.4773477308890075,False,True,balanced,entropy,20.0,0.7,0.9460595184257966,18,29,700,-1,73,0.5872796197512367,0.0429162007572124,0.4732168178374445,0.0534522508339801,0.4824250623599543,0.0463227232947143,0.4773477308890075,0.048382435568957,0.5879146057105797,0.0418681739843221,0.5946638140468076,0.0498090017590693
28,0.4642835190745081,False,True,balanced_subsample,log_loss,30.0,0.7,0.95332129757463,14,32,800,-1,73,0.5800931247820416,0.0447670007694627,0.4632819942436571,0.0570628045034274,0.4667653151820065,0.0580130585595787,0.4642835190745081,0.055233790974299,0.5800416854203988,0.0441315642555044,0.5926614475168293,0.0490410760337891
29,0.4737987541842877,False,True,balanced,gini,15.0,0.7,0.9936175724265024,17,36,800,-1,73,0.5854797669943042,0.0481774271660232,0.471278387244105,0.0600475507847194,0.4778125396355642,0.054633123461507,0.4737987541842877,0.054897153059206,0.585768610853733,0.0470658384398125,0.5938124349934564,0.0497164420084083
30,0.4734888607908349,False,True,balanced_subsample,entropy,,0.3,0.7132989866190181,16,23,1000,-1,73,0.5872796197512367,0.049292140913266,0.4735899779780596,0.062188257668123,0.4750517904705534,0.0549681486797697,0.4734888607908349,0.0560016990960633,0.5871897440088083,0.0480330670633036,0.5955265321773491,0.0506049671501704
31,0.4802115319203816,False,True,balanced,entropy,10.0,0.5,0.892186717861097,20,20,900,-1,73,0.5844045051212172,0.0453737840045595,0.4705721721183344,0.0543569477755936,0.4916289688411617,0.0516267151250909,0.4802115319203816,0.0506368462761517,0.5856906846487545,0.0443190178928152,0.5951223531366101,0.0482278317145891
32,0.4805788513642006,False,True,balanced,entropy,10.0,,0.9167236001678432,19,27,900,-1,73,0.5879958151970345,0.0404527824105952,0.4738645852634179,0.0488612168789047,0.4888639918826364,0.0530589339255031,0.4805788513642006,0.0481440453969111,0.5887755477954704,0.0397258199437897,0.5938479987479334,0.0458137041974741
33,0.4825735313116585,False,True,balanced,entropy,10.0,,0.888383803632871,19,12,1000,-1,73,0.5901547343812562,0.0361835241490144,0.4769484433760956,0.0428925994415891,0.4898025620428698,0.0430683347760992,0.4825735313116585,0.039390779710052,0.5908087263726115,0.0350574725239928,0.593557585280365,0.0466467418250458
34,0.3063169141892744,False,True,,entropy,10.0,,0.9114986874296352,19,12,1000,-1,73,0.6257100603179934,0.0261569842210043,0.5434671717171716,0.0759967720451971,0.2144548260262969,0.0578189646688826,0.3063169141892744,0.0715289838576931,0.5729858423610141,0.0363977126765201,0.5942905572477611,0.0477684954044523
35,0.4655210986999405,False,True,balanced,entropy,50.0,,0.8827936029055031,15,8,1000,-1,73,0.5829669478062074,0.0406744221717004,0.4659879905689593,0.0528863934569702,0.4658436561958313,0.0537323954964713,0.4655210986999405,0.0518964704252941,0.5827807489780372,0.0403604627787604,0.5923623214787044,0.0497198478875294
36,0.4745329682429275,False,True,balanced,gini,15.0,,0.7754313771768327,19,16,800,-1,73,0.5844070883329243,0.0400976045043742,0.4694166591971012,0.0498738621612312,0.4805859721811186,0.0451737819979016,0.4745329682429275,0.0459247305973432,0.5851712892226341,0.0391635636881317,0.5954004723302946,0.0480349974899346
37,0.3386156267808714,False,True,,log_loss,30.0,,0.8234725980007636,12,13,400,-1,73,0.6167288790152796,0.0293613233552718,0.5097904999649445,0.0724082924609408,0.2558829746755168,0.0710155885796231,0.3386156267808714,0.0790385963208295,0.5771396753723526,0.0395664784057113,0.591650332366707,0.0517505715222108
