trial_number,fold,train_row_count,filtered_train_row_count,validation_row_count,selected_feature_count,accuracy,precision,recall,f1,f1_weighted,roc_auc,param_bootstrap,param_class_weight,param_criterion,param_max_depth,param_max_features,param_max_samples,param_min_samples_leaf,param_min_samples_split,param_n_estimators,param_n_jobs,param_random_state
0,1,2227,1826,557,24,0.6606822262118492,0.6986301369863014,0.2339449541284403,0.3505154639175257,0.6060355912997266,0.6919839787827122,False,,gini,15.0,0.5,,16,14,800,-1,73
0,2,2227,1826,557,3,0.6104129263913824,0.0,0.0,0.0,0.4627433555698328,0.5893060449986446,False,,gini,15.0,0.5,,16,14,800,-1,73
0,3,2227,1802,557,15,0.5960502692998204,0.4459459459459459,0.152073732718894,0.2268041237113402,0.5318920690335354,0.5947817836812144,False,,gini,15.0,0.5,,16,14,800,-1,73
0,4,2227,1828,557,8,0.6175942549371634,0.5666666666666667,0.0783410138248847,0.1376518218623481,0.5140772595680857,0.5431282190295472,False,,gini,15.0,0.5,,16,14,800,-1,73
0,5,2228,1818,556,17,0.6079136690647482,0.4827586206896552,0.064516129032258,0.1138211382113821,0.5006510873090522,0.5660046490763019,False,,gini,15.0,0.5,,16,14,800,-1,73
1,1,2227,1826,557,24,0.6678635547576302,0.726027397260274,0.2431192660550458,0.3642611683848797,0.6143734623833303,0.6888446862060567,False,,log_loss,20.0,sqrt,,2,28,300,-1,73
1,2,2227,1826,557,3,0.63016157989228,0.6,0.152073732718894,0.2426470588235294,0.5556041542234706,0.5895296828408783,False,,log_loss,20.0,sqrt,,2,28,300,-1,73
1,3,2227,1802,557,15,0.5960502692998204,0.4487179487179487,0.1612903225806451,0.2372881355932203,0.5351614578404585,0.5952561669829223,False,,log_loss,20.0,sqrt,,2,28,300,-1,73
1,4,2227,1828,557,8,0.6140035906642729,0.5192307692307693,0.1244239631336405,0.2007434944237918,0.5333078322267825,0.5395500135538085,False,,log_loss,20.0,sqrt,,2,28,300,-1,73
1,5,2228,1818,556,17,0.6133093525179856,0.5294117647058824,0.0829493087557603,0.1434262948207171,0.5134387374673467,0.5644549569756535,False,,log_loss,20.0,sqrt,,2,28,300,-1,73
