trial_number,objective_value,is_best,param_bootstrap,param_class_weight,param_criterion,param_max_depth,param_max_features,param_max_samples,param_min_samples_leaf,param_min_samples_split,param_n_estimators,param_n_jobs,param_random_state,cv_mean_accuracy,cv_std_accuracy,cv_mean_precision,cv_std_precision,cv_mean_recall,cv_std_recall,cv_mean_f1,cv_std_f1,cv_mean_f1_weighted,cv_std_f1_weighted,cv_mean_roc_auc,cv_std_roc_auc
0,0.1657585095405192,False,False,,gini,15.0,0.5,,16,14,800,-1,73,0.6185306691809928,0.0221883638425442,0.4388002740577138,0.235962051782395,0.1057751659408954,0.0802675257479805,0.1657585095405192,0.11732438716488,0.5230798725560465,0.0472946060546715,0.5970409351136841,0.0508899711888079
1,0.2376732304092277,False,False,,log_loss,20.0,sqrt,,2,28,300,-1,73,0.6242776694263978,0.0243187030517561,0.5646775759829749,0.0938479230554437,0.1527713186487971,0.0527531938082401,0.2376732304092277,0.0725199056477855,0.5503771288282777,0.034670375796591,0.5955271013118638,0.0506816072983778
2,0.0572469094404578,False,False,,entropy,30.0,log2,,20,2,700,-1,73,0.6127881895560752,0.0057946056631687,0.4817741935483871,0.2886950798255915,0.0312856720077791,0.0262494843886554,0.0572469094404578,0.0464246777600691,0.4835492459047911,0.0170755709399703,0.5910681335078063,0.0486044162288429
3,0.4760215748147804,False,True,balanced,entropy,50.0,,0.829102402672984,8,22,800,-1,73,0.5818865195097065,0.0415689675033436,0.4681402574830158,0.0511524915250255,0.4852196338730816,0.0317256295862911,0.4760215748147804,0.0401128751183701,0.5831923446646629,0.0398261653999574,0.5997718574998977,0.0505265753091169
4,0.4809933278456845,False,False,balanced,log_loss,15.0,0.3,,2,10,1000,-1,73,0.5955413765935187,0.0315142327410997,0.4838528637161949,0.0432100152404941,0.4806367057032935,0.0416629777596358,0.4809933278456845,0.0343457039253416,0.5949269936155721,0.0296881518202817,0.5959780199927608,0.0467431930013351
5,0.4836972614522262,False,True,balanced,entropy,20.0,0.7,0.7652162719148826,15,3,400,-1,73,0.5818897485243403,0.0360666867506672,0.4665507053334671,0.0424043168106959,0.5026677377076904,0.0522785539798626,0.4836972614522262,0.0459870239461234,0.5842059965762811,0.0357977498313339,0.5932358828028641,0.0479970612368015
6,0.0178304704068896,False,True,,log_loss,20.0,log2,0.7577150834103576,18,33,800,-1,73,0.6102727871562714,0.0041035700210506,0.4,0.38873012632302,0.0091996786876928,0.0082247091245993,0.0178304704068896,0.015874288447864,0.4685879819497255,0.0055877155769287,0.5829773794926807,0.0455615035498076
7,0.0997799293428067,False,False,,entropy,50.0,0.3,,17,28,300,-1,73,0.6160191415987497,0.0172173696278364,0.5441190476190476,0.3329525341886974,0.0597598613283727,0.0610996792820438,0.0997799293428067,0.099093830095717,0.4996027636833847,0.0393860095356627,0.5915852602567845,0.0497238613329068
8,0.4789329791879894,False,False,balanced,gini,5.0,0.7,,15,16,400,-1,73,0.571108714464694,0.0281563502732277,0.4555792500685558,0.0315045484154351,0.505458081427303,0.0379081290359775,0.4789329791879894,0.0325785770306935,0.5742887862655001,0.0275300643512068,0.5913196456629255,0.0417722748467421
9,0.4878605663162417,False,True,balanced,entropy,30.0,sqrt,0.960267413620678,6,40,700,-1,73,0.5829701768208413,0.0316906590836237,0.4686454437910675,0.0365029269784674,0.5091362617849744,0.0393755961499022,0.4878605663162417,0.036788643465663,0.5855939992627892,0.031123869955115,0.5942282252072758,0.0479236472427467
10,0.4831988420116228,False,True,balanced,entropy,30.0,sqrt,0.9711839648290193,7,40,600,-1,73,0.5793782209420973,0.036722826602415,0.4638474760071995,0.0428982385653592,0.5045110556800406,0.0514961938827543,0.4831988420116228,0.0463640714298094,0.582044179128182,0.036469811238584,0.5930374715288772,0.050634795854308
11,0.4833405855433215,False,True,balanced,entropy,,0.7,0.8661127205558026,12,2,500,-1,73,0.5804508996034771,0.0365231070120831,0.4656800636373475,0.0434043318482098,0.5026888766752633,0.0416449172641976,0.4833405855433215,0.0420410074475916,0.5829787159913524,0.0358837011608971,0.5990794297275096,0.0486919995992851
12,0.4796973074938419,False,True,balanced,entropy,10.0,0.7,0.7525183153506143,11,38,500,-1,73,0.5793775751391704,0.0333839610975002,0.4636560922396169,0.0401757633468436,0.4971589227582125,0.0436273827908838,0.4796973074938419,0.041200323669541,0.5816754450851599,0.0330233294570293,0.5967010315192608,0.0480726063458269
13,0.4674489220805659,False,True,balanced,entropy,30.0,sqrt,0.995185968071485,6,9,1000,-1,73,0.5808125492424733,0.0345688317305337,0.4639545767720341,0.0435766528810711,0.4713862934934257,0.0407679392056118,0.4674489220805659,0.0413174820031702,0.5813652542829326,0.0339924517151972,0.5946074060525115,0.0496166926518269
14,0.475440377138562,False,True,balanced,entropy,20.0,0.5,0.8665811421040716,14,22,600,-1,73,0.5783029590690104,0.0317405470444431,0.4623492905578665,0.0379205536129628,0.4898025620428698,0.0385955397301722,0.475440377138562,0.0369530600155989,0.5802065005417459,0.0311048270105106,0.594390572918401,0.0476461399604264
15,0.4736739318441518,False,True,balanced,gini,,,0.7298961627749766,5,29,500,-1,73,0.5847590509280188,0.0391855347638216,0.470256528116038,0.0493807167706605,0.4778505897771953,0.035339524866662,0.4736739318441518,0.0411644404191044,0.5853913297460346,0.037845839447595,0.6005524458445731,0.0504276061759432
16,0.4771009170433634,False,True,balanced,entropy,10.0,0.7,0.6712505581122248,9,34,700,-1,73,0.5790172171060279,0.0348578432457213,0.4631702763982973,0.0408637328872895,0.4925506278273369,0.0464029789311885,0.4771009170433634,0.0420029407079851,0.5809600029193552,0.0343367581000426,0.5980696107926157,0.0499615401058344
17,0.4780976492007864,False,True,balanced,entropy,5.0,sqrt,0.7831889945902594,11,17,400,-1,73,0.5721884969582682,0.0321603544944831,0.4553888188596448,0.0374844447401779,0.503585168900351,0.0555562948509665,0.4780976492007864,0.0450764935626592,0.5752440894753841,0.0322513498099179,0.5851523395855892,0.0413661099297371
18,0.4559646592749357,False,True,balanced,log_loss,30.0,sqrt,0.6897607035668347,4,7,900,-1,73,0.5858472288596411,0.0353609381883825,0.470573344117877,0.0481348199312,0.4447173720035513,0.0398181134745391,0.4559646592749357,0.0366025196725296,0.5833162617976055,0.0329565224774605,0.596540914312177,0.047839463926038
19,0.481978888490102,False,True,balanced,gini,20.0,0.7,0.8675902982463823,13,25,400,-1,73,0.5790114048796869,0.0358106283266665,0.4640657155118808,0.0419477716117219,0.5017714454826027,0.0417612155644526,0.481978888490102,0.0409286194720577,0.5815482737928689,0.0351335417799385,0.5964716199841748,0.0481407957484254
20,0.469769030932941,False,True,balanced,entropy,20.0,0.3,0.900598885646017,9,35,600,-1,73,0.5725495007943378,0.0340351896388908,0.455554484707772,0.040657660174224,0.4851942671119942,0.0402583622962121,0.469769030932941,0.0398490666194817,0.5747080395591881,0.0334459969972093,0.593637757355009,0.0509940832074437
21,0.4854332326510569,False,True,balanced,entropy,,0.7,0.8423795776449227,12,2,500,-1,73,0.5833253684305697,0.0324025018125788,0.4687878332161989,0.038345144985046,0.5036147634549529,0.0381280786958919,0.4854332326510569,0.0375035763764143,0.5856784205730493,0.0318157009631157,0.5989007747499475,0.0472810237800958
22,0.4848334742373041,False,True,balanced,entropy,,0.7,0.9517724893341258,13,4,500,-1,73,0.579732120945972,0.0385277471026836,0.4654550120549234,0.0451559353822828,0.506371284826449,0.0418892836620004,0.4848334742373041,0.0427674328198746,0.582460585019178,0.0376944553850049,0.5986812287633247,0.0484300147571462
23,0.4890055179633626,False,True,balanced,entropy,,0.7,0.9577631941493292,10,7,700,-1,73,0.5851187631582346,0.0304294096227727,0.4720399034359889,0.0366995775411165,0.5082568807339449,0.0287940537380658,0.4890055179633626,0.0295538284377489,0.5874321836622934,0.0291573145944055,0.599285595220837,0.047867573198589
24,0.4872224373907873,False,True,balanced,entropy,,0.7,0.9847798657195844,9,12,700,-1,73,0.5872796197512367,0.0347486846850243,0.474352712868496,0.0418195609437074,0.5017925844501754,0.0319886949265767,0.4872224373907873,0.0346813666646982,0.5890875044611004,0.0334709171938608,0.6013964890195957,0.0495370324145511
25,0.4731914279842915,False,True,balanced,entropy,,log2,0.9879331117564756,4,12,700,-1,73,0.5905163840202524,0.0390125256089206,0.4764523385341762,0.0506645089730194,0.4713820656999112,0.0478049802163744,0.4731914279842915,0.0461678222393621,0.5899169057077058,0.0379840656549459,0.600357838447654,0.0465959851516296
26,0.1644716250939629,False,True,,entropy,,0.5,0.9087721849434484,9,19,900,-1,73,0.6192494478384976,0.0258929562358626,0.4452963493037097,0.2467584694320714,0.1039360757620597,0.0781693232935104,0.1644716250939629,0.117031096570817,0.5230695389473767,0.0488300678667514,0.5997383836164557,0.0503916312520115
27,0.4761440588956542,False,True,balanced,entropy,,,0.940996440227344,7,7,700,-1,73,0.5905021763558632,0.0395863955671551,0.477044204371085,0.0523355621498717,0.4760114995983596,0.037843282745035,0.4761440588956542,0.043396358874588,0.5904868658285789,0.038337442743075,0.6007408868106113,0.048501862732147
28,0.4727239980569209,False,True,balanced,gini,30.0,sqrt,0.9671034381387056,10,6,800,-1,73,0.5743467703395632,0.0355733433506177,0.4571890445240517,0.0422128930970648,0.4897771952817825,0.0522481211512596,0.4727239980569209,0.0461343143268116,0.5765439547753038,0.0354079850600927,0.5901842937962453,0.0484202357777368
29,0.3329694454497799,False,False,,log_loss,15.0,0.5,,1,13,900,-1,73,0.6235569533601126,0.0233631855892279,0.5377698129875574,0.0685937652628844,0.242117278992094,0.0431883326157452,0.3329694454497799,0.0524936315527698,0.5797652559591472,0.0283833732288858,0.5998861605523185,0.0526044723300664
